repoKey,repoType,foldersCount,filesCount,usedSpace,usedSpaceInBytes,itemsCount,packageType,projectKey,percentage
sand-docker-test,VIRTUAL,0,0,0 bytes,0,0,Docker,sand,0%
rcc1-docker-dev-virtual,VIRTUAL,0,0,0 bytes,0,0,Docker,rcc1,0%
rcc1-npm-ui-shared-dev-virtual,VIRTUAL,0,0,0 bytes,0,0,npm,rcc1,0%
brep-debian-local,LOCAL,0,0,0 bytes,0,0,Debian,brep,0%
brep-ubuntu,VIRTUAL,0,0,0 bytes,0,0,Debian,brep,0%
rrim-build-info,LOCAL,0,0,0 bytes,0,0,BuildInfo,default,0%
rtt-rrim-build-info,LOCAL,0,0,0 bytes,0,0,BuildInfo,default,0%
offr-maven-dev,VIRTUAL,0,0,0 bytes,0,0,Maven,offr,0%
mrmp-docker-dev-virtual,VIRTUAL,0,0,0 bytes,0,0,Docker,mrmp,0%
rcc1-build-info,LOCAL,21,1425,5.10 MB,5350650,1446,BuildInfo,default,0%
rfm2-helm-dev-local,LOCAL,11,1912,15.39 MB,16135358,1923,Helm,rfm2,0%
rfm2-gradle-prod-local,LOCAL,0,0,0 bytes,0,0,Gradle,rfm2,0%
medp-nuget-prod,VIRTUAL,0,0,0 bytes,0,0,NuGet,medp,0%
prd1-docker-prod-local,LOCAL,0,0,0 bytes,0,0,Docker,prd1,0%
gatr-docker-dev-local,LOCAL,10,61,1.74 GB,1863900013,71,Docker,gatr,0.01%
gatr-doordash,LOCAL,5,49,1.12 GB,1202057580,54,Docker,gatr,0.01%
medp-docker-dev-local,LOCAL,45,204,1.78 GB,1907678814,249,Docker,medp,0.01%
tst-build-info,LOCAL,0,0,0 bytes,0,0,BuildInfo,default,0%
kios-maven-dev-local,LOCAL,5,3,37.66 KB,38568,8,Maven,kios,0%
rcc1-nuget-prod-virtual,VIRTUAL,0,0,0 bytes,0,0,NuGet,rcc1,0%
gatr-docker-dev,VIRTUAL,0,0,0 bytes,0,0,Docker,gatr,0%
vcet-maven-prod-local,LOCAL,0,0,0 bytes,0,0,Maven,vcet,0%
rrim-docker-dev,VIRTUAL,0,0,0 bytes,0,0,Docker,rrim,0%
prd2-docker-dev-local,LOCAL,12,30,86.55 MB,90753795,42,Docker,prd2,0%
pos2-local-debian,LOCAL,19,48,4.47 MB,4688190,67,Debian,pos2,0%
rrim-docker-dev-local,LOCAL,21,161,3.91 GB,4199756337,182,Docker,rrim,0.03%
dssp-docker-dev,VIRTUAL,0,0,0 bytes,0,0,Docker,dssp,0%
mept-test-build-info,LOCAL,0,0,0 bytes,0,0,BuildInfo,default,0%
rfm2-ui-common-prod-local,LOCAL,0,0,0 bytes,0,0,npm,rfm2,0%
mcd-build-info,LOCAL,0,0,0 bytes,0,0,BuildInfo,default,0%
gtia-pah-automation,LOCAL,0,0,0 bytes,0,0,Generic,gtia,0%
dret-build-info,LOCAL,0,0,0 bytes,0,0,BuildInfo,dret,0%
dret-npm-release-local,LOCAL,0,0,0 bytes,0,0,npm,dret,0%
medp-docker-hub-2-cache,CACHE,5,10,54.12 MB,56747104,15,Docker,medp,0%
dret-mvn-release-local,LOCAL,61,91,1.60 GB,1714430892,152,Maven,dret,0.01%
medp-nuget-prod-local,LOCAL,0,0,0 bytes,0,0,NuGet,medp,0%
gtee-maven-dev,VIRTUAL,0,0,0 bytes,0,0,Maven,gtee,0%
mrmp-maven-dev-local,LOCAL,0,0,0 bytes,0,0,Maven,mrmp,0%
rfm2-docker-dev,VIRTUAL,4,7,260.28 MB,272918228,11,Docker,rfm2,0%
mrmp-docker-prod-virtual,VIRTUAL,0,0,0 bytes,0,0,Docker,mrmp,0%
mcdp-maven-dev-local,LOCAL,2034,1453,48.75 GB,52349746512,3487,Maven,mcdp,0.32%
mcdp-docker-hub-cache,CACHE,111,345,8.60 GB,9231580177,456,Docker,mcdp,0.06%
rfm2-ui-prod-local,LOCAL,0,0,0 bytes,0,0,Generic,rfm2,0%
rcc1-generic-lambda-dev-local,LOCAL,2,23,30.29 MB,31759699,25,Generic,rcc1,0%
bcgd-build-info,LOCAL,0,0,0 bytes,0,0,BuildInfo,default,0%
medp-build-info,LOCAL,9,86,7.39 MB,7753276,95,BuildInfo,default,0%
rcc1-nuget-dev-local,LOCAL,0,0,0 bytes,0,0,NuGet,rcc1,0%
medp-helm-staging-local,LOCAL,0,0,0 bytes,0,0,Helm,medp,0%
dret-docker-dev,VIRTUAL,0,0,0 bytes,0,0,Docker,dret,0%
rcc1-generic-ui-dev-local,LOCAL,3,97,736.44 MB,772213889,100,Generic,rcc1,0%
rcc1-maven-prod-local,LOCAL,0,0,0 bytes,0,0,Maven,rcc1,0%
rfm2-ui-common-dev,VIRTUAL,2,0,0 bytes,0,2,npm,rfm2,0%
acct-maven-dev-local,LOCAL,0,0,0 bytes,0,0,Maven,acct,0%
prd2-build-info,LOCAL,0,0,0 bytes,0,0,BuildInfo,prd2,0%
docker,VIRTUAL,0,0,0 bytes,0,0,Docker,default,0%
rfm2-ui-common-prod,VIRTUAL,0,0,0 bytes,0,0,npm,rfm2,0%
gtia-maven-dev,VIRTUAL,0,0,0 bytes,0,0,Maven,gtia,0%
rcc1-nuget-prod-local,LOCAL,0,0,0 bytes,0,0,NuGet,rcc1,0%
mrmp-docker-prod-local,LOCAL,0,0,0 bytes,0,0,Docker,mrmp,0%
gdap-docker-prod-local,LOCAL,0,0,0 bytes,0,0,Docker,gdap,0%
mrmp-maven-prod-virtual,VIRTUAL,0,0,0 bytes,0,0,Maven,mrmp,0%
pos2-debian-remote-repo-cache,CACHE,20,8,7.12 MB,7465736,28,Debian,pos2,0%
brep-maven-local,LOCAL,0,0,0 bytes,0,0,Maven,brep,0%
ordr-build-info,LOCAL,0,0,0 bytes,0,0,BuildInfo,ordr,0%
offr-build-info,LOCAL,0,0,0 bytes,0,0,BuildInfo,offr,0%
mcdp-maven-prod,VIRTUAL,8,0,0 bytes,0,8,Maven,mcdp,0%
testx-build-info,LOCAL,0,0,0 bytes,0,0,BuildInfo,default,0%
menu-docker-dev,VIRTUAL,0,0,0 bytes,0,0,Docker,menu,0%
